Date Reported,Nomes de medida,Valores de medida
27/10/2020,* Antigen Tests,2.090
27/10/2020,Serology Tests,305
26/10/2020,Confirmed Cases,1.777
26/10/2020,PCR Tests,19.385
26/10/2020,* Antigen Tests,2.058
26/10/2020,Serology Tests,185
25/10/2020,Confirmed Cases,1.501
25/10/2020,PCR Tests,12.692
25/10/2020,* Antigen Tests,1.431
25/10/2020,Serology Tests,92
24/10/2020,Confirmed Cases,2.008
24/10/2020,PCR Tests,18.366
24/10/2020,* Antigen Tests,891
24/10/2020,Serology Tests,320
23/10/2020,Confirmed Cases,2.351
23/10/2020,PCR Tests,20.265
23/10/2020,* Antigen Tests,1.301
23/10/2020,Serology Tests,365
22/10/2020,Confirmed Cases,2.284
22/10/2020,PCR Tests,22.487
22/10/2020,* Antigen Tests,776
22/10/2020,Serology Tests,381
21/10/2020,Confirmed Cases,1.845
21/10/2020,PCR Tests,18.800
21/10/2020,* Antigen Tests,941
21/10/2020,Serology Tests,309
20/10/2020,Confirmed Cases,1.534
20/10/2020,PCR Tests,14.987
20/10/2020,* Antigen Tests,1.362
20/10/2020,Serology Tests,155
19/10/2020,Confirmed Cases,1.242
19/10/2020,PCR Tests,18.942
19/10/2020,* Antigen Tests,487
19/10/2020,Serology Tests,125
18/10/2020,Confirmed Cases,1.513
18/10/2020,PCR Tests,13.440
18/10/2020,* Antigen Tests,219
18/10/2020,Serology Tests,289
17/10/2020,Confirmed Cases,1.617
17/10/2020,PCR Tests,15.324
17/10/2020,* Antigen Tests,339
17/10/2020,Serology Tests,260
16/10/2020,Confirmed Cases,2.137
16/10/2020,PCR Tests,21.813
16/10/2020,* Antigen Tests,1.070
16/10/2020,Serology Tests,341
15/10/2020,Confirmed Cases,2.295
15/10/2020,PCR Tests,23.445
15/10/2020,* Antigen Tests,609
15/10/2020,Serology Tests,366
14/10/2020,Confirmed Cases,1.876
14/10/2020,PCR Tests,19.634
14/10/2020,* Antigen Tests,737
14/10/2020,Serology Tests,351
13/10/2020,Confirmed Cases,1.840
13/10/2020,PCR Tests,29.954
13/10/2020,* Antigen Tests,663
13/10/2020,Serology Tests,303
12/10/2020,Confirmed Cases,1.230
12/10/2020,PCR Tests,9.591
12/10/2020,* Antigen Tests,63
12/10/2020,Serology Tests,86
11/10/2020,Confirmed Cases,1.484
11/10/2020,PCR Tests,15.066
11/10/2020,* Antigen Tests,156
11/10/2020,Serology Tests,151
10/10/2020,Confirmed Cases,1.621
10/10/2020,PCR Tests,16.137
10/10/2020,* Antigen Tests,283
10/10/2020,Serology Tests,272
09/10/2020,Confirmed Cases,1.954
09/10/2020,PCR Tests,20.670
09/10/2020,* Antigen Tests,731
09/10/2020,Serology Tests,301
08/10/2020,Confirmed Cases,2.116
08/10/2020,PCR Tests,23.088
08/10/2020,* Antigen Tests,451
08/10/2020,Serology Tests,326
07/10/2020,Confirmed Cases,1.603
07/10/2020,PCR Tests,22.690
07/10/2020,* Antigen Tests,1.635
07/10/2020,Serology Tests,309
06/10/2020,Confirmed Cases,1.351
06/10/2020,PCR Tests,14.292
06/10/2020,* Antigen Tests,1.676
06/10/2020,Serology Tests,471
05/10/2020,Confirmed Cases,1.206
05/10/2020,PCR Tests,16.679
05/10/2020,* Antigen Tests,507
05/10/2020,Serology Tests,123
04/10/2020,Confirmed Cases,870
04/10/2020,PCR Tests,12.680
04/10/2020,* Antigen Tests,58
04/10/2020,Serology Tests,145
03/10/2020,Confirmed Cases,1.325
03/10/2020,PCR Tests,15.856
03/10/2020,* Antigen Tests,132
03/10/2020,Serology Tests,240
02/10/2020,Confirmed Cases,1.691
02/10/2020,PCR Tests,24.940
02/10/2020,* Antigen Tests,598
02/10/2020,Serology Tests,255
01/10/2020,Confirmed Cases,1.758
01/10/2020,PCR Tests,22.125
01/10/2020,* Antigen Tests,633
01/10/2020,Serology Tests,254
30/09/2020,Confirmed Cases,1.823
30/09/2020,PCR Tests,22.112
30/09/2020,* Antigen Tests,695
30/09/2020,Serology Tests,197
29/09/2020,Confirmed Cases,1.363
29/09/2020,PCR Tests,19.365
29/09/2020,* Antigen Tests,1.489
29/09/2020,Serology Tests,138
28/09/2020,Confirmed Cases,1.440
28/09/2020,PCR Tests,13.150
28/09/2020,* Antigen Tests,1.350
28/09/2020,Serology Tests,154
27/09/2020,Confirmed Cases,1.407
27/09/2020,PCR Tests,15.137
27/09/2020,* Antigen Tests,190
27/09/2020,Serology Tests,161
26/09/2020,Confirmed Cases,1.812
26/09/2020,PCR Tests,15.878
26/09/2020,* Antigen Tests,104
26/09/2020,Serology Tests,237
25/09/2020,Confirmed Cases,2.262
25/09/2020,PCR Tests,27.630
25/09/2020,* Antigen Tests,414
25/09/2020,Serology Tests,404
24/09/2020,Confirmed Cases,1.872
24/09/2020,PCR Tests,25.414
24/09/2020,* Antigen Tests,474
24/09/2020,Serology Tests,352
23/09/2020,Confirmed Cases,1.493
23/09/2020,PCR Tests,17.732
23/09/2020,* Antigen Tests,231
23/09/2020,Serology Tests,294
22/09/2020,Confirmed Cases,1.256
22/09/2020,PCR Tests,16.133
22/09/2020,* Antigen Tests,898
22/09/2020,Serology Tests,433
21/09/2020,Confirmed Cases,1.166
21/09/2020,PCR Tests,18.336
21/09/2020,* Antigen Tests,780
21/09/2020,Serology Tests,163
20/09/2020,Confirmed Cases,1.401
20/09/2020,PCR Tests,12.210
20/09/2020,* Antigen Tests,432
20/09/2020,Serology Tests,436
19/09/2020,Confirmed Cases,1.595
19/09/2020,PCR Tests,16.317
19/09/2020,* Antigen Tests,279
19/09/2020,Serology Tests,205
18/09/2020,Confirmed Cases,1.430
18/09/2020,PCR Tests,21.532
18/09/2020,* Antigen Tests,505
18/09/2020,Serology Tests,301
17/09/2020,Confirmed Cases,1.533
17/09/2020,PCR Tests,21.464
17/09/2020,* Antigen Tests,269
17/09/2020,Serology Tests,286
16/09/2020,Confirmed Cases,1.629
16/09/2020,PCR Tests,22.018
16/09/2020,* Antigen Tests,324
16/09/2020,Serology Tests,277
15/09/2020,Confirmed Cases,1.205
15/09/2020,PCR Tests,16.348
15/09/2020,* Antigen Tests,907
15/09/2020,Serology Tests,304
14/09/2020,Confirmed Cases,1.470
14/09/2020,PCR Tests,18.472
14/09/2020,* Antigen Tests,432
14/09/2020,Serology Tests,130
13/09/2020,Confirmed Cases,1.271
13/09/2020,PCR Tests,20.694
13/09/2020,* Antigen Tests,268
13/09/2020,Serology Tests,266
12/09/2020,Confirmed Cases,2.495
12/09/2020,PCR Tests,25.730
12/09/2020,* Antigen Tests,124
12/09/2020,Serology Tests,354
11/09/2020,Confirmed Cases,2.566
11/09/2020,PCR Tests,28.692
11/09/2020,* Antigen Tests,177
11/09/2020,Serology Tests,259
10/09/2020,Confirmed Cases,1.081
10/09/2020,PCR Tests,15.598
10/09/2020,* Antigen Tests,260
10/09/2020,Serology Tests,201
09/09/2020,Confirmed Cases,1.038
09/09/2020,PCR Tests,20.822
09/09/2020,* Antigen Tests,2.419
09/09/2020,Serology Tests,412
08/09/2020,Confirmed Cases,1.179
08/09/2020,PCR Tests,17.350
08/09/2020,* Antigen Tests,565
08/09/2020,Serology Tests,115
07/09/2020,Confirmed Cases,667
07/09/2020,PCR Tests,8.579
07/09/2020,* Antigen Tests,112
07/09/2020,Serology Tests,39
06/09/2020,Confirmed Cases,1.015
06/09/2020,PCR Tests,11.508
06/09/2020,* Antigen Tests,45
06/09/2020,Serology Tests,197
05/09/2020,Confirmed Cases,1.354
05/09/2020,PCR Tests,13.605
05/09/2020,* Antigen Tests,345
05/09/2020,Serology Tests,235
04/09/2020,Confirmed Cases,2.129
04/09/2020,PCR Tests,24.920
04/09/2020,* Antigen Tests,118
04/09/2020,Serology Tests,275
03/09/2020,Confirmed Cases,1.443
03/09/2020,PCR Tests,21.394
